schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,,,,,
10/31/2010,2010,8,FALSE,KC,13,10,BUF,KC,-7,46,Arrowhead,Stadium,FALSE,51,1,60,,,,,
10/31/2010,2010,8,FALSE,NE,28,18,MIN,NE,-5.5,45,Gillette,Stadium,FALSE,52,16,,,,,,
10/31/2010,2010,8,FALSE,NO,20,10,PIT,NO,-1,45.5,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
10/31/2010,2010,8,FALSE,NYJ,0,9,GB,NYJ,-6,42,MetLife,Stadium,FALSE,57,1,41,,,,,
10/31/2010,2010,8,FALSE,LVR,33,3,SEA,LVR,-2,40.5,LVRland,Coliseum,FALSE,66,5,60,,,,,
10/31/2010,2010,8,FALSE,LAC,33,25,TEN,LAC,-6,45,Qualcomm,Stadium,FALSE,65,1,65,,,,,
10/31/2010,2010,8,FALSE,SF,24,16,DEN,SF,-2.5,41.5,Wembley,Stadium,TRUE,54,6,,,,,,
10/31/2010,2010,8,FALSE,LAR,20,10,CAR,LAR,-2.5,37,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
11/1/2010,2010,8,FALSE,IND,30,17,HOU,IND,-5.5,51,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
11/7/2010,2010,9,FALSE,ATL,27,21,TB,ATL,-9,45.5,Georgia,Dome,FALSE,72,0,DOME,,,,,
11/7/2010,2010,9,FALSE,BAL,26,10,MIA,BAL,-5,41,M&T,Bank,Stadium,FALSE,50,1,38,,,,
11/7/2010,2010,9,FALSE,BUF,19,22,CHI,CHI,-3,41.5,Rogers,Centre,TRUE,72,0,DOME,,,,,
11/7/2010,2010,9,FALSE,CAR,3,34,NO,NO,-6.5,40.5,Bank,of,America,Stadium,FALSE,50,7,33,,,
11/7/2010,2010,9,FALSE,CLE,34,14,NE,NE,-4,43.5,FirstEnergy,Stadium,FALSE,44,13,,,,,,
11/7/2010,2010,9,FALSE,DET,20,23,NYJ,NYJ,-5.5,42,Ford,Field,FALSE,72,0,DOME,,,,,
11/7/2010,2010,9,FALSE,GB,45,7,DAL,GB,-7,45.5,Lambeau,Field,FALSE,43,3,62,,,,,
11/7/2010,2010,9,FALSE,HOU,23,29,LAC,LAC,-3,49.5,Reliant,Stadium,FALSE,64,8,DOME,(Open,Roof),,,
11/7/2010,2010,9,FALSE,MIN,27,24,ARI,MIN,-7.5,42.5,Mall,of,America,Field,FALSE,72,0,DOME,,,
11/7/2010,2010,9,FALSE,LVR,23,20,KC,PICK,0,41,LVRland,Coliseum,FALSE,63,9,82,Rain,|,Fog,,
11/7/2010,2010,9,FALSE,PHI,26,24,IND,PHI,-3,47,Lincoln,Financial,Field,FALSE,52,1,34,,,,
11/7/2010,2010,9,FALSE,SEA,7,41,NYG,NYG,-7.5,40.5,CenturyLink,Field,FALSE,56,15,,,,,,
11/8/2010,2010,9,FALSE,CIN,21,27,PIT,PIT,-5.5,41.5,Paul,Brown,Stadium,FALSE,46,2,65,,,,
11/11/2010,2010,10,FALSE,ATL,26,21,BAL,ATL,-1,44,Georgia,Dome,FALSE,72,0,DOME,,,,,
11/14/2010,2010,10,FALSE,ARI,18,36,SEA,ARI,-4,41.5,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
11/14/2010,2010,10,FALSE,BUF,14,12,DET,BUF,-1.5,45,Ralph,Wilson,Stadium,FALSE,58,1,36,,,,
11/14/2010,2010,10,FALSE,CHI,27,13,MIN,MIN,-1,41.5,Soldier,Field,FALSE,44,2,57,,,,,
11/14/2010,2010,10,FALSE,CLE,20,26,NYJ,NYJ,-3.5,37,FirstEnergy,Stadium,FALSE,46,1,77,,,,,
11/14/2010,2010,10,FALSE,DEN,49,29,KC,KC,-1,44.5,Sports,Authority,Field,at,Mile,High,FALSE,43,6,34,
11/14/2010,2010,10,FALSE,IND,23,17,CIN,IND,-7,47,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
11/14/2010,2010,10,FALSE,JAX,31,24,HOU,PICK,0,48.5,EverBank,Field,FALSE,70,5,50,,,,,
11/14/2010,2010,10,FALSE,MIA,29,17,TEN,MIA,-1,43,Sun,Life,Stadium,FALSE,80,9,46,,,,
11/14/2010,2010,10,FALSE,NYG,20,33,DAL,NYG,-12.5,46.5,MetLife,Stadium,FALSE,63,8,45,,,,,
11/14/2010,2010,10,FALSE,PIT,26,39,NE,PIT,-4.5,45,Heinz,Field,FALSE,50,8,86,Rain,,,,
11/14/2010,2010,10,FALSE,SF,23,20,LAR,SF,-4.5,39,Candlestick,Park,FALSE,74,5,50,,,,,
11/14/2010,2010,10,FALSE,TB,31,16,CAR,TB,-7,37,Raymond,James,Stadium,FALSE,75,7,57,,,,
11/15/2010,2010,10,FALSE,WAS,28,59,PHI,PHI,-3.5,43.5,FedEx,Field,FALSE,52,3,67,,,,,
11/18/2010,2010,11,FALSE,MIA,0,16,CHI,MIA,-2,40,Sun,Life,Stadium,FALSE,80,8,77,,,,
11/21/2010,2010,11,FALSE,CAR,13,37,BAL,BAL,-13.5,37,Bank,of,America,Stadium,FALSE,65,6,43,,,
11/21/2010,2010,11,FALSE,CIN,31,49,BUF,CIN,-4,41,Paul,Brown,Stadium,FALSE,65,1,56,,,,
11/21/2010,2010,11,FALSE,DAL,35,19,DET,DAL,-7,44.5,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
11/21/2010,2010,11,FALSE,JAX,24,20,CLE,JAX,-2.5,43,EverBank,Field,FALSE,76,8,47,,,,,
11/21/2010,2010,11,FALSE,KC,31,13,ARI,KC,-7,45,Arrowhead,Stadium,FALSE,66,2,65,,,,,
11/21/2010,2010,11,FALSE,MIN,3,31,GB,GB,-3,45,Mall,of,America,Field,FALSE,72,0,DOME,,,
11/21/2010,2010,11,FALSE,NE,31,28,IND,NE,-4.5,50,Gillette,Stadium,FALSE,37,6,,,,,,
11/21/2010,2010,11,FALSE,NO,34,19,SEA,NO,-11,45,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
11/21/2010,2010,11,FALSE,NYJ,30,27,HOU,NYJ,-6.5,46,MetLife,Stadium,FALSE,46,1,37,,,,,
11/21/2010,2010,11,FALSE,PHI,27,17,NYG,PHI,-3.5,48,Lincoln,Financial,Field,FALSE,45,7,68,,,,
11/21/2010,2010,11,FALSE,PIT,35,3,LVR,PIT,-7,41,Heinz,Field,FALSE,57,9,62,,,,,
11/21/2010,2010,11,FALSE,SF,0,21,TB,SF,-3.5,41.5,Candlestick,Park,FALSE,54,2,65,,,,,
11/21/2010,2010,11,FALSE,LAR,17,34,ATL,ATL,-3.5,43.5,Edward,Jones,Dome,FALSE,72,0,DOME,,,,
11/21/2010,2010,11,FALSE,TEN,16,19,WAS,TEN,-7,44.5,Nissan,Stadium,FALSE,66,1,53,,,,,
11/22/2010,2010,11,FALSE,LAC,35,14,DEN,LAC,-9,50,Qualcomm,Stadium,FALSE,57,5,69,,,,,
11/25/2010,2010,12,FALSE,DAL,27,30,NO,NO,-4.5,49,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
11/25/2010,2010,12,FALSE,DET,24,45,NE,NE,-7.5,50.5,Ford,Field,FALSE,72,0,DOME,,,,,
11/25/2010,2010,12,FALSE,NYJ,26,10,CIN,NYJ,-9.5,43.5,MetLife,Stadium,FALSE,39,6,87,,,,,
11/28/2010,2010,12,FALSE,ATL,20,17,GB,ATL,-2,48,Georgia,Dome,FALSE,72,0,DOME,,,,,
11/28/2010,2010,12,FALSE,BAL,17,10,TB,BAL,-7.5,41.5,M&T,Bank,Stadium,FALSE,52,3,37,,,,
11/28/2010,2010,12,FALSE,BUF,16,19,PIT,PIT,-7,44,Ralph,Wilson,Stadium,FALSE,36,1,78,,,,
11/28/2010,2010,12,FALSE,CHI,31,26,PHI,PHI,-3.5,43,Soldier,Field,FALSE,45,1,57,,,,,
11/28/2010,2010,12,FALSE,CLE,24,23,CAR,CLE,-7.5,37.5,FirstEnergy,Stadium,FALSE,37,5,,,,,,
11/28/2010,2010,12,FALSE,DEN,33,36,LAR,DEN,-3,45,Sports,Authority,Field,at,Mile,High,FALSE,45,1,23,
11/28/2010,2010,12,FALSE,HOU,20,0,TEN,HOU,-5,46.5,Reliant,Stadium,FALSE,62,5,DOME,(Open,Roof),,,
11/28/2010,2010,12,FALSE,IND,14,36,LAC,IND,-2,51,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
11/28/2010,2010,12,FALSE,NYG,24,20,JAX,NYG,-7.5,44,MetLife,Stadium,FALSE,43,6,43,,,,,
11/28/2010,2010,12,FALSE,LVR,17,33,MIA,LVR,-3,38,LVRland,Coliseum,FALSE,54,1,49,,,,,
11/28/2010,2010,12,FALSE,SEA,24,42,KC,KC,-2,45,CenturyLink,Field,FALSE,43,1,,,,,,
11/28/2010,2010,12,FALSE,WAS,13,17,MIN,MIN,-2.5,44,FedEx,Field,FALSE,47,5,44,,,,,
11/29/2010,2010,12,FALSE,ARI,6,27,SF,SF,-2,42,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
12/2/2010,2010,13,FALSE,PHI,34,24,HOU,PHI,-8,49.5,Lincoln,Financial,Field,FALSE,37,5,55,,,,
12/5/2010,2010,13,FALSE,ARI,6,19,LAR,LAR,-3.5,44,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
12/5/2010,2010,13,FALSE,BAL,10,13,PIT,BAL,-3,39,M&T,Bank,Stadium,FALSE,35,0,48,,,,
12/5/2010,2010,13,FALSE,CIN,30,34,NO,NO,-7,45.5,Paul,Brown,Stadium,FALSE,32,1,68,,,,
12/5/2010,2010,13,FALSE,DET,20,24,CHI,CHI,-5.5,43.5,Ford,Field,FALSE,72,0,DOME,,,,,
12/5/2010,2010,13,FALSE,GB,34,16,SF,GB,-9,41,Lambeau,Field,FALSE,26,1,60,,,,,
12/5/2010,2010,13,FALSE,IND,35,38,DAL,IND,-5.5,48,Lucas,Oil,Stadium,FALSE,72,0,DOME,,,,
12/5/2010,2010,13,FALSE,KC,10,6,DEN,KC,-8,48.5,Arrowhead,Stadium,FALSE,26,8,55,,,,,
12/5/2010,2010,13,FALSE,MIA,10,13,CLE,MIA,-6,43.5,Sun,Life,Stadium,FALSE,76,1,52,,,,
12/5/2010,2010,13,FALSE,MIN,38,14,BUF,MIN,-5,44,Mall,of,America,Field,FALSE,72,0,DOME,,,
12/5/2010,2010,13,FALSE,NYG,31,7,WAS,NYG,-7.5,43,MetLife,Stadium,FALSE,34,1,51,,,,,
12/5/2010,2010,13,FALSE,LAC,13,28,LVR,LAC,-13,44.5,Qualcomm,Stadium,FALSE,67,5,39,,,,,
12/5/2010,2010,13,FALSE,SEA,31,14,CAR,SEA,-5,40,CenturyLink,Field,FALSE,48,6,,,,,,
12/5/2010,2010,13,FALSE,TB,24,28,ATL,ATL,-3,43.5,Raymond,James,Stadium,FALSE,72,9,53,,,,
12/5/2010,2010,13,FALSE,TEN,6,17,JAX,TEN,-3,43.5,Nissan,Stadium,FALSE,35,1,70,,,,,
12/6/2010,2010,13,FALSE,NE,45,3,NYJ,NE,-4,44.5,Gillette,Stadium,FALSE,28,16,,,,,,
12/9/2010,2010,14,FALSE,TEN,28,30,IND,IND,-4,44,Nissan,Stadium,FALSE,41,6,46,,,,,
12/12/2010,2010,14,FALSE,ARI,43,13,DEN,DEN,-4,44,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
12/12/2010,2010,14,FALSE,BUF,13,6,CLE,PICK,0,39,Ralph,Wilson,Stadium,FALSE,36,6,95,Rain,|,Fog,
12/12/2010,2010,14,FALSE,CAR,10,31,ATL,ATL,-7.5,41,Bank,of,America,Stadium,FALSE,47,1,94,,,
12/12/2010,2010,14,FALSE,CHI,7,36,NE,NE,-3,37,Soldier,Field,FALSE,27,3,81,Snow,,,,
12/12/2010,2010,14,FALSE,DAL,27,30,PHI,PHI,-4,51,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
12/12/2010,2010,14,FALSE,DET,7,3,GB,GB,-7,46,Ford,Field,FALSE,72,0,DOME,,,,,
12/12/2010,2010,14,FALSE,JAX,38,31,LVR,JAX,-3.5,41.5,EverBank,Field,FALSE,54,1,86,Rain,,,,
12/12/2010,2010,14,FALSE,NO,31,13,LAR,NO,-9,47,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
12/12/2010,2010,14,FALSE,NYJ,6,10,MIA,NYJ,-5.5,38,MetLife,Stadium,FALSE,54,8,83,,,,,
12/12/2010,2010,14,FALSE,PIT,23,7,CIN,PIT,-8,39.5,Heinz,Field,FALSE,41,8,89,Rain,,,,
12/12/2010,2010,14,FALSE,LAC,31,0,KC,LAC,-10,45.5,Qualcomm,Stadium,FALSE,86,5,22,,,,,
